No,FIFA_Rank,Player,Abbr,Country,Confederation,Pos,Passes_Att,Passes_Cmp,Cmp_pct
232,427,Jeremy Doku,BEL,Belgium,UEFA,FW,90,74,82.22
233,427,Kerim Alajbegovic,BIH,Bosnia and Herzegovina,UEFA,FW,90,69,76.67
234,431,Juan Quintero,COL,Colombia,CONMEBOL,MF,89,74,83.15
235,431,Josko Gvardiol,CRO,Croatia,UEFA,DF,89,77,86.52
236,436,Ruben Vargas,SUI,Switzerland,UEFA,FW,88,65,73.86
237,436,Lucas Bergvall,SWE,Sweden,UEFA,MF,88,80,90.91
238,439,Fabian Rieder,SUI,Switzerland,UEFA,MF,87,71,81.61
239,444,Ferran Torres,ESP,Spain,UEFA,FW,86,63,73.26
240,446,Orkun Kokcu,TUR,Türkiye,UEFA,MF,85,60,70.59
241,448,Michal Sadilek,CZE,Czechia,UEFA,MF,84,69,82.14
242,450,Antonio Nusa,NOR,Norway,UEFA,FW,83,62,74.7
243,453,Rafael Leao,POR,Portugal,UEFA,FW,82,71,86.59
244,453,Giuliano Simeone,ARG,Argentina,CONMEBOL,FW,82,70,85.37
245,457,Mert Muldur,TUR,Türkiye,UEFA,DF,81,72,88.89
246,457,Alexander Isak,SWE,Sweden,UEFA,FW,81,65,80.25
247,462,Gustavo Velazquez,PAR,Paraguay,CONMEBOL,DF,80,57,71.25
248,462,Paul Wanner,AUT,Austria,UEFA,MF,80,68,85.0
249,468,Zeki Celik,TUR,Türkiye,UEFA,DF,79,70,88.61
250,468,Marcos Senesi,ARG,Argentina,CONMEBOL,DF,79,75,94.94
251,473,Nilson Angulo,ECU,Ecuador,CONMEBOL,FW,78,63,80.77
252,480,Anthony Elanga,SWE,Sweden,UEFA,FW,76,60,78.95
253,480,Michel Aebischer,SUI,Switzerland,UEFA,MF,76,66,86.84
254,480,Malo Gusto,FRA,France,UEFA,DF,76,69,90.79
255,488,Francisco Conceicao,POR,Portugal,UEFA,FW,73,65,89.04
256,488,Silvan Widmer,SUI,Switzerland,UEFA,DF,73,57,78.08
257,488,Jacob Widell Zetterstrom,SWE,Sweden,UEFA,GK,73,39,53.42
258,495,Breel Embolo,SUI,Switzerland,UEFA,FW,72,56,77.78
259,498,Esmir Bajraktarevic,BIH,Bosnia and Herzegovina,UEFA,FW,71,58,81.69
260,498,Fernando Muslera,URU,Uruguay,CONMEBOL,GK,71,57,80.28
261,498,Lautaro Martinez,ARG,Argentina,CONMEBOL,FW,71,60,84.51
262,504,Viktor Gyokeres,SWE,Sweden,UEFA,FW,70,48,68.57
263,504,Warren Zaire Emery,FRA,France,UEFA,MF,70,66,94.29
264,507,Mauricio,PAR,Paraguay,CONMEBOL,MF,69,54,78.26
265,513,Julio Enciso,PAR,Paraguay,CONMEBOL,FW,68,55,80.88
266,513,Agustin Canobbio,URU,Uruguay,CONMEBOL,MF,68,61,89.71
267,518,Tijjani Reijnders,NED,Netherlands,UEFA,MF,67,53,79.1
